mode,type,delta,had_type,file
MCE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MCE,ExploitRemoteService,0.0,0,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MSE,ExploitRemoteService,0.0,0,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MCE,ExploitRemoteService,0.0,0,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,3.9999999999999996,1,cc2_restore_meander
MSE,ExploitRemoteService,2.9399999999999995,1,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,3.999999999999999,1,cc2_restore_meander
MCE,ExploitRemoteService,2.9399999999999995,1,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,3.9999999999999996,1,cc2_restore_meander
MSE,ExploitRemoteService,2.9399999999999995,1,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,3.9999999999999982,1,cc2_restore_meander
MCE,ExploitRemoteService,2.9399999999999977,1,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MSE,ExploitRemoteService,0.0,0,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MCE,ExploitRemoteService,0.0,0,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,3.9999999999999996,1,cc2_restore_meander
MSE,ExploitRemoteService,2.9399999999999995,1,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MCE,ExploitRemoteService,2.9400000000000013,1,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MSE,ExploitRemoteService,0.0,0,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MCE,ExploitRemoteService,0.0,0,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MSE,ExploitRemoteService,0.0,0,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MCE,ExploitRemoteService,0.0,0,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MSE,ExploitRemoteService,0.0,0,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MCE,ExploitRemoteService,0.0,0,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,3.9999999999999996,1,cc2_restore_meander
MSE,ExploitRemoteService,2.9399999999999995,1,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,3.999999999999999,1,cc2_restore_meander
MCE,ExploitRemoteService,2.9399999999999995,1,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,3.9999999999999996,1,cc2_restore_meander
MSE,ExploitRemoteService,2.9399999999999995,1,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MCE,ExploitRemoteService,2.9399999999999995,1,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,3.9999999999999996,1,cc2_restore_meander
MSE,ExploitRemoteService,2.9399999999999995,1,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MCE,ExploitRemoteService,2.9399999999999995,1,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MSE,ExploitRemoteService,0.0,0,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MCE,ExploitRemoteService,0.0,0,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MSE,ExploitRemoteService,0.0,0,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MCE,ExploitRemoteService,0.0,0,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,3.9999999999999996,1,cc2_restore_meander
MSE,ExploitRemoteService,2.9399999999999995,1,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MCE,ExploitRemoteService,2.9399999999999995,1,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,3.9999999999999996,1,cc2_restore_meander
MSE,ExploitRemoteService,2.9399999999999995,1,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MCE,ExploitRemoteService,2.9399999999999995,1,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MSE,ExploitRemoteService,0.0,0,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MCE,ExploitRemoteService,0.0,0,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,3.9999999999999996,1,cc2_restore_meander
MSE,ExploitRemoteService,2.9399999999999995,1,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,3.999999999999999,1,cc2_restore_meander
MCE,ExploitRemoteService,2.9399999999999995,1,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,3.9999999999999996,1,cc2_restore_meander
MSE,ExploitRemoteService,2.9399999999999995,1,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MCE,ExploitRemoteService,2.9399999999999995,1,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MSE,ExploitRemoteService,0.0,0,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MCE,ExploitRemoteService,0.0,0,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MSE,ExploitRemoteService,0.0,0,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MCE,ExploitRemoteService,0.0,0,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,3.9999999999999996,1,cc2_restore_meander
MSE,ExploitRemoteService,2.9399999999999995,1,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,3.999999999999999,1,cc2_restore_meander
MCE,ExploitRemoteService,2.9399999999999995,1,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,3.9999999999999996,1,cc2_restore_meander
MSE,ExploitRemoteService,2.9399999999999995,1,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MCE,ExploitRemoteService,2.9399999999999995,1,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MSE,ExploitRemoteService,0.0,0,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MCE,ExploitRemoteService,0.0,0,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MSE,ExploitRemoteService,0.0,0,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MCE,ExploitRemoteService,0.0,0,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,3.9999999999999996,1,cc2_restore_meander
MSE,ExploitRemoteService,2.9399999999999995,1,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MCE,ExploitRemoteService,2.9399999999999995,1,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,3.9999999999999996,1,cc2_restore_meander
MSE,ExploitRemoteService,2.9399999999999995,1,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MCE,ExploitRemoteService,2.9400000000000004,1,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,3.9999999999999996,1,cc2_restore_meander
MSE,ExploitRemoteService,2.9399999999999995,1,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,3.999999999999999,1,cc2_restore_meander
MCE,ExploitRemoteService,2.9399999999999995,1,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MSE,ExploitRemoteService,0.0,0,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MCE,ExploitRemoteService,0.0,0,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,3.9999999999999996,1,cc2_restore_meander
MSE,ExploitRemoteService,2.9399999999999995,1,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MCE,ExploitRemoteService,2.9399999999999995,1,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MSE,ExploitRemoteService,0.0,0,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MCE,ExploitRemoteService,0.0,0,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MSE,ExploitRemoteService,0.0,0,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MCE,ExploitRemoteService,0.0,0,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MSE,ExploitRemoteService,0.0,0,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MCE,ExploitRemoteService,0.0,0,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MSE,ExploitRemoteService,0.0,0,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MCE,ExploitRemoteService,0.0,0,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,3.9999999999999996,1,cc2_restore_meander
MSE,ExploitRemoteService,2.9399999999999995,1,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,3.999999999999999,1,cc2_restore_meander
MCE,ExploitRemoteService,2.9399999999999995,1,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MSE,ExploitRemoteService,0.0,0,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MCE,ExploitRemoteService,0.0,0,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MSE,ExploitRemoteService,0.0,0,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MCE,ExploitRemoteService,0.0,0,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,3.9999999999999996,1,cc2_restore_meander
MSE,ExploitRemoteService,2.9399999999999995,1,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,3.999999999999999,1,cc2_restore_meander
MCE,ExploitRemoteService,2.9399999999999995,1,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MSE,ExploitRemoteService,0.0,0,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MCE,ExploitRemoteService,0.0,0,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MSE,ExploitRemoteService,0.0,0,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MCE,ExploitRemoteService,0.0,0,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,3.9999999999999996,1,cc2_restore_meander
MSE,ExploitRemoteService,2.9399999999999995,1,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,3.999999999999999,1,cc2_restore_meander
MCE,ExploitRemoteService,2.9399999999999995,1,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,3.9999999999999996,1,cc2_restore_meander
MSE,ExploitRemoteService,2.9399999999999995,1,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,3.9999999999999982,1,cc2_restore_meander
MCE,ExploitRemoteService,2.9399999999999995,1,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MSE,ExploitRemoteService,0.0,0,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MCE,ExploitRemoteService,0.0,0,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MSE,ExploitRemoteService,0.0,0,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MCE,ExploitRemoteService,0.0,0,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,3.9999999999999996,1,cc2_restore_meander
MSE,ExploitRemoteService,2.9399999999999995,1,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,3.999999999999999,1,cc2_restore_meander
MCE,ExploitRemoteService,2.9399999999999995,1,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MSE,ExploitRemoteService,0.0,0,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MCE,ExploitRemoteService,0.0,0,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,3.9999999999999996,1,cc2_restore_meander
MSE,ExploitRemoteService,2.9399999999999995,1,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MCE,ExploitRemoteService,2.9399999999999995,1,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MSE,ExploitRemoteService,0.0,0,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MCE,ExploitRemoteService,0.0,0,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MSE,ExploitRemoteService,0.0,0,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MCE,ExploitRemoteService,0.0,0,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,3.9999999999999996,1,cc2_restore_meander
MSE,ExploitRemoteService,2.9399999999999995,1,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MCE,ExploitRemoteService,2.9399999999999995,1,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,3.9999999999999996,1,cc2_restore_meander
MSE,ExploitRemoteService,2.9399999999999995,1,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MCE,ExploitRemoteService,2.9399999999999995,1,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MSE,ExploitRemoteService,0.0,0,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MCE,ExploitRemoteService,0.0,0,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MSE,ExploitRemoteService,0.0,0,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MCE,ExploitRemoteService,0.0,0,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,3.9999999999999996,1,cc2_restore_meander
MSE,ExploitRemoteService,2.9399999999999995,1,cc2_restore_meander
MSE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MSE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MCE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MCE,ExploitRemoteService,2.9399999999999995,1,cc2_restore_meander
MCE,DiscoverNetworkServices,0.0,0,cc2_restore_meander
MCE,DiscoverRemoteSystems,0.0,0,cc2_restore_meander
MSE,PrivilegeEscalate,4.0,1,cc2_restore_meander
MSE,ExploitRemoteService,0.0,0,cc2_restore_meander
